file_name,emotion,fold
angry_000,angry,5
angry_001,angry,5
angry_002,angry,1
angry_003,angry,4
angry_004,angry,2
angry_005,angry,1
angry_006,angry,4
angry_007,angry,5
angry_008,angry,2
angry_009,angry,3
angry_010,angry,4
angry_011,angry,3
angry_012,angry,3
angry_013,angry,4
angry_014,angry,4
angry_015,angry,1
angry_016,angry,2
angry_017,angry,3
angry_018,angry,2
angry_019,angry,1
angry_020,angry,3
angry_021,angry,5
angry_022,angry,1
angry_023,angry,5
angry_024,angry,5
angry_025,angry,2
angry_026,angry,3
angry_027,angry,2
angry_028,angry,3
angry_029,angry,5
angry_030,angry,3
angry_031,angry,3
angry_032,angry,4
angry_033,angry,1
angry_034,angry,1
angry_035,angry,1
angry_036,angry,4
angry_037,angry,5
angry_038,angry,1
angry_039,angry,4
angry_040,angry,5
angry_041,angry,4
angry_042,angry,3
angry_043,angry,5
angry_044,angry,4
angry_045,angry,5
angry_046,angry,4
angry_047,angry,1
angry_048,angry,1
angry_049,angry,5
angry_050,angry,3
angry_051,angry,1
angry_052,angry,3
angry_053,angry,5
angry_054,angry,3
angry_055,angry,3
angry_056,angry,5
angry_057,angry,1
angry_058,angry,3
angry_059,angry,3
angry_060,angry,4
angry_061,angry,1
angry_062,angry,3
angry_063,angry,4
angry_064,angry,4
angry_065,angry,1
angry_066,angry,1
angry_067,angry,1
angry_068,angry,4
angry_069,angry,5
angry_070,angry,5
angry_071,angry,5
angry_072,angry,5
angry_073,angry,5
angry_074,angry,1
angry_075,angry,4
angry_076,angry,4
angry_077,angry,5
angry_078,angry,2
angry_079,angry,4
angry_080,angry,4
angry_081,angry,5
angry_082,angry,5
angry_083,angry,3
angry_084,angry,5
angry_085,angry,3
angry_086,angry,2
angry_087,angry,5
angry_088,angry,3
angry_089,angry,3
angry_090,angry,2
angry_091,angry,2
angry_092,angry,3
angry_093,angry,1
angry_094,angry,5
angry_095,angry,2
angry_096,angry,1
angry_097,angry,3
angry_098,angry,1
angry_099,angry,5
angry_100,angry,1
angry_1000,angry,3
angry_1001,angry,3
angry_1002,angry,3
angry_1003,angry,1
angry_1004,angry,4
angry_1005,angry,4
angry_1006,angry,2
angry_1007,angry,2
angry_1008,angry,2
angry_1009,angry,2
angry_101,angry,4
angry_1010,angry,5
angry_1011,angry,2
angry_1012,angry,1
angry_1013,angry,5
angry_1014,angry,3
angry_1015,angry,1
angry_1016,angry,5
angry_1017,angry,4
angry_1018,angry,3
angry_1019,angry,1
angry_102,angry,5
angry_1020,angry,4
angry_1021,angry,3
angry_1022,angry,1
angry_1023,angry,5
angry_1024,angry,4
angry_1025,angry,3
angry_1026,angry,1
angry_1027,angry,3
angry_1028,angry,3
angry_1029,angry,3
angry_103,angry,2
angry_1030,angry,2
angry_1031,angry,4
angry_1032,angry,2
angry_1033,angry,4
angry_1034,angry,4
angry_1035,angry,2
angry_1036,angry,1
angry_1037,angry,2
angry_1038,angry,2
angry_1039,angry,5
angry_104,angry,2
angry_1040,angry,5
angry_1041,angry,2
angry_1042,angry,1
angry_1043,angry,2
angry_1044,angry,4
angry_1045,angry,5
angry_1046,angry,2
angry_1047,angry,4
angry_1048,angry,1
angry_1049,angry,3
angry_105,angry,4
angry_1050,angry,5
angry_1051,angry,2
angry_1052,angry,1
angry_1053,angry,4
angry_1054,angry,2
angry_1055,angry,4
angry_1056,angry,4
angry_1057,angry,2
angry_1058,angry,3
angry_1059,angry,5
angry_106,angry,1
angry_1060,angry,1
angry_1061,angry,4
angry_1062,angry,4
angry_1063,angry,1
angry_1064,angry,5
angry_1065,angry,5
angry_1066,angry,3
angry_1067,angry,5
angry_1068,angry,4
angry_1069,angry,2
angry_107,angry,2
angry_1070,angry,2
angry_1071,angry,5
angry_1072,angry,2
angry_1073,angry,2
angry_1074,angry,3
angry_1075,angry,3
angry_1076,angry,2
angry_1077,angry,2
angry_1078,angry,1
angry_1079,angry,3
angry_108,angry,4
angry_1080,angry,2
angry_1081,angry,1
angry_1082,angry,5
angry_1083,angry,4
angry_1084,angry,3
angry_1085,angry,2
angry_1086,angry,1
angry_1087,angry,5
angry_1088,angry,1
angry_1089,angry,3
angry_109,angry,4
angry_1090,angry,4
angry_1091,angry,3
angry_1092,angry,1
angry_1093,angry,5
angry_1094,angry,5
angry_1095,angry,3
angry_1096,angry,3
angry_1097,angry,1
angry_1098,angry,2
angry_1099,angry,1
angry_110,angry,4
angry_1100,angry,2
angry_1101,angry,3
angry_1102,angry,4
angry_1103,angry,4
angry_1104,angry,3
angry_1105,angry,1
angry_1106,angry,4
angry_1107,angry,4
angry_1108,angry,4
angry_1109,angry,2
angry_111,angry,3
angry_1110,angry,4
angry_1111,angry,2
angry_1112,angry,3
angry_1113,angry,3
angry_1114,angry,5
angry_1115,angry,4
angry_1116,angry,4
angry_1117,angry,5
angry_1118,angry,2
angry_1119,angry,4
angry_112,angry,4
angry_1120,angry,4
angry_1121,angry,1
angry_1122,angry,5
angry_1123,angry,3
angry_1124,angry,3
angry_1125,angry,1
angry_1126,angry,3
angry_1127,angry,3
angry_1128,angry,5
angry_1129,angry,5
angry_113,angry,3
angry_1130,angry,1
angry_1131,angry,2
angry_1132,angry,3
angry_1133,angry,5
angry_1134,angry,2
angry_1135,angry,3
angry_1136,angry,4
angry_1137,angry,3
angry_1138,angry,4
angry_1139,angry,3
angry_114,angry,4
angry_1140,angry,2
angry_1141,angry,2
angry_1142,angry,5
angry_1143,angry,5
angry_1144,angry,2
angry_1145,angry,4
angry_1146,angry,3
angry_1147,angry,1
angry_1148,angry,5
angry_1149,angry,2
angry_115,angry,2
angry_1150,angry,2
angry_1151,angry,3
angry_1152,angry,4
angry_1153,angry,3
angry_1154,angry,1
angry_1155,angry,1
angry_1156,angry,4
angry_1157,angry,5
angry_1158,angry,1
angry_1159,angry,1
angry_116,angry,3
angry_1160,angry,4
angry_1161,angry,4
angry_1162,angry,2
angry_1163,angry,5
angry_1164,angry,2
angry_1165,angry,4
