file_name,emotion,fold
angry_000,angry,4
angry_001,angry,1
angry_002,angry,1
angry_003,angry,5
angry_004,angry,4
angry_005,angry,4
angry_006,angry,4
angry_007,angry,4
angry_008,angry,1
angry_009,angry,1
angry_010,angry,1
angry_011,angry,1
angry_012,angry,1
angry_013,angry,2
angry_014,angry,5
angry_015,angry,4
angry_016,angry,2
angry_017,angry,1
angry_018,angry,2
angry_019,angry,4
angry_020,angry,3
angry_021,angry,1
angry_022,angry,5
angry_023,angry,3
angry_024,angry,1
angry_025,angry,2
angry_026,angry,4
angry_027,angry,2
angry_028,angry,1
angry_029,angry,1
angry_030,angry,3
angry_031,angry,5
angry_032,angry,5
angry_033,angry,5
angry_034,angry,2
angry_035,angry,4
angry_036,angry,5
angry_037,angry,2
angry_038,angry,2
angry_039,angry,5
angry_040,angry,5
angry_041,angry,5
angry_042,angry,2
angry_043,angry,1
angry_044,angry,1
angry_045,angry,2
angry_046,angry,4
angry_047,angry,2
angry_048,angry,4
angry_049,angry,1
angry_050,angry,5
angry_051,angry,4
angry_052,angry,3
angry_053,angry,4
angry_054,angry,1
angry_055,angry,1
angry_056,angry,2
angry_057,angry,3
angry_058,angry,3
angry_059,angry,4
angry_060,angry,4
angry_061,angry,5
angry_062,angry,3
angry_063,angry,5
angry_064,angry,4
angry_065,angry,3
angry_066,angry,3
angry_067,angry,3
angry_068,angry,2
angry_069,angry,1
angry_070,angry,5
angry_071,angry,1
angry_072,angry,4
angry_073,angry,4
angry_074,angry,5
angry_075,angry,4
angry_076,angry,1
angry_077,angry,4
angry_078,angry,4
angry_079,angry,5
angry_080,angry,1
angry_081,angry,3
angry_082,angry,3
angry_083,angry,4
angry_084,angry,4
angry_085,angry,2
angry_086,angry,3
angry_087,angry,3
angry_088,angry,3
angry_089,angry,2
angry_090,angry,2
angry_091,angry,5
angry_092,angry,4
angry_093,angry,3
angry_094,angry,4
angry_095,angry,1
angry_096,angry,3
angry_097,angry,5
angry_098,angry,3
angry_099,angry,3
angry_100,angry,5
angry_1000,angry,2
angry_1001,angry,3
angry_1002,angry,3
angry_1003,angry,3
angry_1004,angry,3
angry_1005,angry,3
angry_1006,angry,2
angry_1007,angry,1
angry_1008,angry,5
angry_1009,angry,2
angry_101,angry,4
angry_1010,angry,4
angry_1011,angry,4
angry_1012,angry,2
angry_1013,angry,3
angry_1014,angry,5
angry_1015,angry,4
angry_1016,angry,2
angry_1017,angry,4
angry_1018,angry,1
angry_1019,angry,1
angry_102,angry,5
angry_1020,angry,1
angry_1021,angry,3
angry_1022,angry,4
angry_1023,angry,3
angry_1024,angry,2
angry_1025,angry,2
angry_1026,angry,3
angry_1027,angry,3
angry_1028,angry,3
angry_1029,angry,3
angry_103,angry,4
angry_1030,angry,4
angry_1031,angry,5
angry_1032,angry,5
angry_1033,angry,2
angry_1034,angry,5
angry_1035,angry,1
angry_1036,angry,1
angry_1037,angry,2
angry_1038,angry,1
angry_1039,angry,5
angry_104,angry,4
angry_1040,angry,2
angry_1041,angry,2
angry_1042,angry,3
angry_1043,angry,2
angry_1044,angry,1
angry_1045,angry,5
angry_1046,angry,4
angry_1047,angry,2
angry_1048,angry,2
angry_1049,angry,2
angry_105,angry,5
angry_1050,angry,4
angry_1051,angry,2
angry_1052,angry,1
angry_1053,angry,4
angry_1054,angry,1
angry_1055,angry,3
angry_1056,angry,1
angry_1057,angry,4
angry_1058,angry,3
angry_1059,angry,2
angry_106,angry,1
angry_1060,angry,2
angry_1061,angry,1
angry_1062,angry,3
angry_1063,angry,3
angry_1064,angry,2
angry_1065,angry,1
angry_1066,angry,5
angry_1067,angry,3
angry_1068,angry,1
angry_1069,angry,2
angry_107,angry,5
angry_1070,angry,2
angry_1071,angry,4
angry_1072,angry,1
angry_1073,angry,3
angry_1074,angry,4
angry_1075,angry,1
angry_1076,angry,5
angry_1077,angry,4
angry_1078,angry,4
angry_1079,angry,2
angry_108,angry,1
angry_1080,angry,3
angry_1081,angry,1
angry_1082,angry,1
angry_1083,angry,1
angry_1084,angry,4
angry_1085,angry,3
angry_1086,angry,2
angry_1087,angry,3
angry_1088,angry,5
angry_1089,angry,2
angry_109,angry,5
angry_1090,angry,2
angry_1091,angry,3
angry_1092,angry,1
angry_1093,angry,5
angry_1094,angry,5
angry_1095,angry,3
angry_1096,angry,3
angry_1097,angry,3
angry_1098,angry,4
angry_1099,angry,2
angry_110,angry,4
angry_1100,angry,5
angry_1101,angry,2
angry_1102,angry,2
angry_1103,angry,1
angry_1104,angry,4
angry_1105,angry,4
angry_1106,angry,2
angry_1107,angry,4
angry_1108,angry,3
angry_1109,angry,2
angry_111,angry,3
angry_1110,angry,3
angry_1111,angry,1
angry_1112,angry,2
angry_1113,angry,4
angry_1114,angry,1
angry_1115,angry,2
angry_1116,angry,2
angry_1117,angry,4
angry_1118,angry,4
angry_1119,angry,2
angry_112,angry,2
angry_1120,angry,3
angry_1121,angry,4
angry_1122,angry,2
angry_1123,angry,5
angry_1124,angry,5
angry_1125,angry,4
angry_1126,angry,2
angry_1127,angry,2
angry_1128,angry,4
angry_1129,angry,5
angry_113,angry,1
angry_1130,angry,2
angry_1131,angry,1
angry_1132,angry,5
angry_1133,angry,1
angry_1134,angry,5
angry_1135,angry,2
angry_1136,angry,5
angry_1137,angry,1
angry_1138,angry,2
angry_1139,angry,3
angry_114,angry,3
angry_1140,angry,3
angry_1141,angry,3
angry_1142,angry,4
angry_1143,angry,5
angry_1144,angry,5
angry_1145,angry,1
angry_1146,angry,3
angry_1147,angry,4
angry_1148,angry,3
angry_1149,angry,3
angry_115,angry,2
angry_1150,angry,3
angry_1151,angry,4
angry_1152,angry,2
angry_1153,angry,5
angry_1154,angry,5
angry_1155,angry,5
angry_1156,angry,3
angry_1157,angry,1
angry_1158,angry,1
angry_1159,angry,5
angry_116,angry,4
angry_1160,angry,3
angry_1161,angry,1
angry_1162,angry,4
angry_1163,angry,5
angry_1164,angry,4
angry_1165,angry,4
angry_1166,angry,3
angry_1167,angry,3
angry_1168,angry,4
angry_1169,angry,4
angry_117,angry,3
angry_1170,angry,4
angry_1171,angry,2
angry_1172,angry,4
angry_1173,angry,4
angry_1174,angry,2
angry_1175,angry,2
angry_1176,angry,3
angry_1177,angry,2
angry_1178,angry,5
angry_1179,angry,3
angry_118,angry,3
angry_1180,angry,4
angry_1181,angry,4
angry_1182,angry,5
angry_1183,angry,4
angry_1184,angry,1
angry_1185,angry,2
angry_1186,angry,1
angry_1187,angry,2
angry_1188,angry,2
angry_1189,angry,4
angry_119,angry,1
angry_1190,angry,4
angry_1191,angry,3
angry_1192,angry,2
angry_1193,angry,2
angry_1194,angry,3
angry_1195,angry,2
angry_1196,angry,1
angry_1197,angry,1
angry_1198,angry,1
angry_1199,angry,3
angry_120,angry,3
angry_1200,angry,3
angry_1201,angry,5
angry_1202,angry,2
angry_1203,angry,2
angry_1204,angry,4
angry_1205,angry,5
angry_1206,angry,4
angry_1207,angry,4
angry_1208,angry,1
angry_1209,angry,4
angry_121,angry,3
angry_1210,angry,4
angry_1211,angry,4
angry_1212,angry,5
angry_1213,angry,2
angry_1214,angry,1
angry_1215,angry,3
angry_1216,angry,5
angry_1217,angry,1
angry_1218,angry,5
angry_1219,angry,4
angry_122,angry,3
angry_1220,angry,2
angry_1221,angry,2
angry_1222,angry,2
angry_1223,angry,2
angry_1224,angry,3
angry_1225,angry,3
angry_1226,angry,5
angry_1227,angry,1
angry_1228,angry,5
angry_1229,angry,2
angry_123,angry,4
angry_1230,angry,1
angry_1231,angry,4
angry_1232,angry,5
angry_1233,angry,1
angry_1234,angry,4
angry_1235,angry,1
angry_1236,angry,5
angry_1237,angry,4
angry_1238,angry,1
angry_1239,angry,3
angry_124,angry,5
angry_1240,angry,2
angry_1241,angry,5
angry_1242,angry,5
angry_1243,angry,4
angry_1244,angry,2
angry_1245,angry,5
angry_1246,angry,2
angry_1247,angry,1
angry_1248,angry,1
angry_1249,angry,3
angry_125,angry,3
angry_1250,angry,4
angry_1251,angry,5
angry_1252,angry,4
angry_1253,angry,5
angry_1254,angry,1
angry_1255,angry,3
angry_1256,angry,5
angry_1257,angry,2
angry_1258,angry,1
angry_1259,angry,2
angry_126,angry,2
angry_1260,angry,1
angry_1261,angry,2
angry_1262,angry,4
angry_1263,angry,1
angry_1264,angry,2
angry_1265,angry,5
angry_1266,angry,1
angry_1267,angry,1
angry_1268,angry,5
angry_1269,angry,1
angry_127,angry,5
angry_1270,angry,1
angry_1271,angry,2
angry_1272,angry,5
angry_1273,angry,2
angry_1274,angry,3
angry_1275,angry,4
angry_1276,angry,4
angry_1277,angry,1
angry_1278,angry,5
angry_1279,angry,1
angry_128,angry,4
angry_1280,angry,1
angry_1281,angry,3
angry_1282,angry,1
angry_1283,angry,1
angry_1284,angry,3
angry_1285,angry,4
angry_1286,angry,2
angry_1287,angry,2
angry_1288,angry,2
angry_1289,angry,1
angry_129,angry,5
angry_1290,angry,2
angry_1291,angry,4
angry_1292,angry,4
angry_1293,angry,5
angry_1294,angry,3
angry_1295,angry,3
angry_1296,angry,2
angry_1297,angry,1
angry_1298,angry,1
angry_1299,angry,3
angry_130,angry,3
angry_1300,angry,4
angry_1301,angry,5
angry_1302,angry,1
angry_1303,angry,5
angry_1304,angry,4
angry_1305,angry,3
angry_1306,angry,3
angry_1307,angry,1
angry_1308,angry,1
angry_1309,angry,2
angry_131,angry,2
angry_1310,angry,3
angry_1311,angry,5
angry_1312,angry,3
angry_1313,angry,2
angry_1314,angry,2
angry_1315,angry,5
angry_1316,angry,1
angry_1317,angry,1
angry_1318,angry,3
angry_1319,angry,4
angry_132,angry,5
angry_1320,angry,1
angry_1321,angry,5
angry_1322,angry,2
angry_1323,angry,5
angry_1324,angry,3
angry_1325,angry,1
angry_1326,angry,2
angry_1327,angry,2
angry_1328,angry,4
angry_1329,angry,2
angry_133,angry,2
angry_1330,angry,1
angry_1331,angry,5
angry_1332,angry,5
angry_1333,angry,3
angry_1334,angry,4
angry_1335,angry,5
angry_1336,angry,3
angry_1337,angry,3
angry_1338,angry,2
angry_1339,angry,5
angry_134,angry,3
angry_1340,angry,1
angry_1341,angry,4
angry_1342,angry,3
angry_1343,angry,3
angry_1344,angry,5
angry_1345,angry,4
angry_1346,angry,5
angry_1347,angry,3
angry_1348,angry,4
angry_1349,angry,2
angry_135,angry,5
angry_1350,angry,4
angry_1351,angry,5
angry_1352,angry,2
angry_1353,angry,3
angry_1354,angry,1
angry_1355,angry,5
angry_1356,angry,4
angry_1357,angry,1
angry_1358,angry,5
angry_1359,angry,5
angry_136,angry,4
angry_1360,angry,1
angry_1361,angry,3
angry_1362,angry,1
angry_1363,angry,5
angry_1364,angry,3
angry_1365,angry,4
angry_1366,angry,3
angry_1367,angry,2
angry_1368,angry,5
angry_1369,angry,1
angry_137,angry,1
angry_1370,angry,5
angry_1371,angry,5
angry_1372,angry,1
angry_1373,angry,4
angry_1374,angry,5
angry_1375,angry,5
angry_1376,angry,5
angry_1377,angry,3
angry_1378,angry,4
angry_1379,angry,4
angry_138,angry,4
angry_1380,angry,5
angry_1381,angry,4
angry_1382,angry,4
angry_1383,angry,3
angry_1384,angry,3
angry_1385,angry,1
angry_1386,angry,5
angry_1387,angry,2
angry_1388,angry,1
angry_1389,angry,5
angry_139,angry,5
angry_1390,angry,2
angry_1391,angry,1
angry_1392,angry,3
angry_1393,angry,1
angry_1394,angry,5
angry_1395,angry,1
angry_1396,angry,3
angry_1397,angry,3
angry_1398,angry,2
angry_1399,angry,5
angry_140,angry,4
angry_1400,angry,1
angry_1401,angry,2
angry_1402,angry,5
angry_1403,angry,3
angry_1404,angry,1
angry_1405,angry,3
angry_1406,angry,1
angry_1407,angry,2
angry_1408,angry,1
angry_1409,angry,3
angry_141,angry,5
angry_1410,angry,1
angry_1411,angry,1
angry_1412,angry,3
angry_1413,angry,5
angry_1414,angry,5
angry_1415,angry,2
angry_1416,angry,3
angry_1417,angry,5
angry_1418,angry,5
angry_1419,angry,1
angry_142,angry,2
angry_1420,angry,3
angry_1421,angry,3
angry_1422,angry,1
angry_1423,angry,4
angry_1424,angry,2
angry_1425,angry,5
angry_1426,angry,2
angry_1427,angry,2
angry_1428,angry,3
angry_1429,angry,4
angry_143,angry,5
angry_1430,angry,4
angry_1431,angry,1
angry_1432,angry,2
angry_1433,angry,3
angry_1434,angry,1
angry_1435,angry,5
angry_1436,angry,2
angry_1437,angry,5
angry_1438,angry,3
angry_1439,angry,1
angry_144,angry,2
angry_1440,angry,2
angry_1441,angry,4
angry_1442,angry,3
angry_1443,angry,2
angry_1444,angry,2
angry_1445,angry,3
angry_1446,angry,2
angry_1447,angry,5
angry_1448,angry,1
angry_1449,angry,1
angry_145,angry,3
angry_1450,angry,4
angry_1451,angry,3
angry_1452,angry,4
angry_1453,angry,3
angry_1454,angry,1
angry_1455,angry,1
angry_1456,angry,4
angry_1457,angry,3
angry_1458,angry,3
angry_1459,angry,1
angry_146,angry,1
angry_1460,angry,3
angry_1461,angry,5
angry_1462,angry,4
angry_1463,angry,1
angry_1464,angry,1
angry_1465,angry,4
angry_1466,angry,4
angry_1467,angry,2
angry_1468,angry,4
angry_1469,angry,1
angry_147,angry,5
angry_1470,angry,5
angry_1471,angry,4
angry_1472,angry,5
angry_1473,angry,5
angry_1474,angry,2
angry_1475,angry,4
angry_1476,angry,1
angry_1477,angry,5
angry_1478,angry,2
angry_1479,angry,5
angry_148,angry,2
angry_1480,angry,4
angry_1481,angry,4
angry_1482,angry,2
angry_1483,angry,1
angry_1484,angry,4
angry_1485,angry,1
angry_1486,angry,5
angry_1487,angry,4
angry_1488,angry,4
angry_1489,angry,3
angry_149,angry,3
angry_1490,angry,5
angry_1491,angry,1
angry_1492,angry,3
angry_1493,angry,2
angry_1494,angry,3
angry_1495,angry,3
angry_1496,angry,4
angry_1497,angry,3
angry_1498,angry,1
angry_1499,angry,4
angry_150,angry,1
angry_1500,angry,1
angry_1501,angry,2
angry_1502,angry,5
angry_1503,angry,4
angry_1504,angry,1
angry_1505,angry,3
angry_1506,angry,5
angry_1507,angry,1
angry_1508,angry,5
angry_1509,angry,3
angry_151,angry,4
angry_1510,angry,2
angry_1511,angry,5
angry_1512,angry,4
angry_1513,angry,1
angry_1514,angry,2
angry_1515,angry,2
angry_1516,angry,4
angry_1517,angry,1
angry_1518,angry,4
angry_1519,angry,3
angry_152,angry,4
angry_1520,angry,4
angry_1521,angry,1
angry_1522,angry,4
angry_1523,angry,4
angry_1524,angry,5
angry_1525,angry,4
angry_1526,angry,1
angry_1527,angry,4
angry_1528,angry,2
angry_1529,angry,3
angry_153,angry,2
angry_1530,angry,5
angry_1531,angry,5
angry_1532,angry,4
angry_1533,angry,5
angry_1534,angry,1
angry_1535,angry,2
angry_1536,angry,4
angry_1537,angry,4
angry_1538,angry,1
angry_1539,angry,2
angry_154,angry,4
angry_1540,angry,1
angry_1541,angry,2
angry_1542,angry,4
angry_1543,angry,3
angry_1544,angry,2
angry_1545,angry,5
angry_1546,angry,5
angry_1547,angry,4
angry_1548,angry,2
angry_1549,angry,5
angry_155,angry,1
angry_1550,angry,3
angry_1551,angry,5
angry_1552,angry,3
angry_1553,angry,5
angry_1554,angry,4
angry_1555,angry,2
angry_1556,angry,5
angry_1557,angry,3
angry_1558,angry,3
angry_1559,angry,5
angry_156,angry,2
angry_1560,angry,5
angry_1561,angry,2
angry_1562,angry,1
angry_1563,angry,4
angry_1564,angry,2
angry_1565,angry,5
angry_1566,angry,2
angry_1567,angry,5
angry_1568,angry,1
angry_1569,angry,1
angry_157,angry,4
angry_1570,angry,1
angry_1571,angry,3
angry_1572,angry,5
angry_1573,angry,4
angry_1574,angry,1
angry_1575,angry,5
angry_1576,angry,2
angry_1577,angry,2
angry_1578,angry,3
angry_1579,angry,1
angry_158,angry,1
angry_1580,angry,2
angry_1581,angry,4
angry_1582,angry,3
angry_1583,angry,3
angry_1584,angry,1
angry_1585,angry,1
angry_1586,angry,2
angry_1587,angry,2
angry_1588,angry,2
angry_1589,angry,5
angry_159,angry,4
angry_1590,angry,4
angry_1591,angry,4
angry_1592,angry,3
angry_1593,angry,3
angry_1594,angry,5
angry_1595,angry,4
angry_1596,angry,5
angry_1597,angry,3
angry_1598,angry,2
angry_1599,angry,3
angry_160,angry,3
angry_1600,angry,1
angry_1601,angry,4
angry_1602,angry,3
angry_1603,angry,2
angry_1604,angry,1
angry_1605,angry,4
angry_1606,angry,1
angry_1607,angry,4
angry_1608,angry,3
angry_1609,angry,5
angry_161,angry,2
angry_1610,angry,3
angry_1611,angry,1
angry_1612,angry,3
angry_1613,angry,5
angry_1614,angry,4
angry_1615,angry,4
angry_1616,angry,3
angry_1617,angry,4
angry_1618,angry,1
angry_1619,angry,3
angry_162,angry,5
angry_1620,angry,3
angry_1621,angry,1
angry_1622,angry,2
angry_1623,angry,1
angry_1624,angry,3
angry_1625,angry,3
angry_1626,angry,1
angry_1627,angry,3
angry_1628,angry,1
angry_1629,angry,1
angry_163,angry,1
angry_1630,angry,1
angry_1631,angry,5
angry_1632,angry,1
angry_1633,angry,3
angry_1634,angry,4
angry_1635,angry,4
angry_1636,angry,3
angry_1637,angry,4
angry_1638,angry,3
angry_1639,angry,1
angry_164,angry,5
angry_1640,angry,2
angry_1641,angry,5
angry_1642,angry,4
angry_1643,angry,5
angry_1644,angry,5
angry_1645,angry,3
angry_1646,angry,2
angry_1647,angry,5
angry_1648,angry,3
angry_1649,angry,5
angry_165,angry,1
angry_1650,angry,2
angry_1651,angry,1
angry_1652,angry,3
angry_1653,angry,2
angry_1654,angry,3
angry_1655,angry,4
angry_1656,angry,2
angry_1657,angry,1
angry_1658,angry,2
angry_1659,angry,4
angry_166,angry,3
angry_1660,angry,5
angry_1661,angry,4
angry_1662,angry,5
angry_1663,angry,2
angry_1664,angry,5
